bpm,compStyle,composer,key,style,title,song_index
60,Jazz-Ballad Swing,Grever Maria,Eb,Ballad,What A Difference A Day Made,1273
240,Jazz-Up Tempo Swing,Woods Harry,G,Up Tempo Swing,What A Little Moonlight Can Do,1274
60,Jazz-Ballad Swing,Weiss-Thiele,F,Ballad,What A Wonderful World,1275
60,Jazz-Ballad Swing,Loesser Frank,F,Ballad,What Are You Doing New Years,1276
60,Jazz-Ballad Swing,Legrand Michel,A-,Ballad,What Are You Doing The Rest Of Your Life?,1277
240,Jazz-Up Tempo Swing,Porter Cole,C,Up Tempo Swing,What Is This Thing Called Love,1278
100,Jazz-Medium Swing,Berlin Irving,C,Waltz,What'll I Do,1279
60,Jazz-Ballad Swing,Haggard Bob,C,Ballad,What's New,1280
60,Jazz-Ballad Swing,Young Victor,Eb,Ballad,When I Fall In Love,1281
140,Jazz-Even 8ths,Mehldau Brad,B,Even 8ths,When It Rains,1282
100,Jazz-Medium Swing,Traditional,Eb,Medium Swing,When It's Sleepy Time Down South,1283
100,Jazz-Medium Swing,Carter Benny,F,Medium Swing,When Lights Are Low,1284
60,Jazz-Ballad Swing,Fisher Marvin,F,Ballad,When Sunny Gets Blue,1285
100,Jazz-Medium Swing,Traditional,F,Medium Swing,When The Saints Go Marching In,1286
60,Jazz-Ballad Swing,Arlen Harold,C,Ballad,When The Sun Comes Out,1287
60,Jazz-Ballad Swing,Harline Leigh,C,Ballad,When You Wish Upon A Star,1288
100,Jazz-Medium Swing,Shay - Fisher - Goodwin,C,Medium Swing,When You're Smilin',1289
60,Jazz-Ballad Swing,McHugh Jimmy,G,Ballad,Where Are You?,1290
100,Jazz-Medium Swing,Rodgers Richard,Eb,Medium Swing,Where Or When,1291
100,Jazz-Medium Swing,Wilder-Palitz,Eb,Waltz,While We're Young,1292
100,Jazz-Medium Swing,Golson Benny,C-,Medium Swing,Whisper Not,1293
100,Jazz-Medium Swing,Newley-Bricusse,Eb,Medium Swing,Who Can I Turn To,1294
100,Jazz-Medium Swing,Gershwin George,C,Medium Swing,Who Cares,1295
60,Jazz-Ballad Swing,Snyder-Kalmar-Ruby,C,Ballad,Who's Sorry Now?,1296
100,Jazz-Medium Swing,Kern Jerome,Ab,Medium Swing,Why Do I Love You?,1297
100,Jazz-Medium Swing,McCoy Kansas-Joe,D-,Medium Swing,Why Don't You Do Right?,1298
100,Jazz-Medium Swing,Shorter Wayne,Bb,Waltz,Wild Flower,1299
240,Jazz-Up Tempo Swing,Dennis Matt,Eb,Up Tempo Swing,Will You Still Be Mine?,1300
80,Jazz-Slow Swing,Ronell Ann,G,Slow Swing,Willow Weep For Me,1301
100,Jazz-Medium Swing,Corea Chick,B-,Waltz,Windows,1302
80,Jazz-Slow Swing,Shorter Wayne,C-,Slow Swing,Witch Hunt,1303
100,Jazz-Medium Swing,Coleman Cy,F,Medium Swing,Witchcraft,1304
240,Jazz-Up Tempo Swing,Rodgers Richard,Eb,Up Tempo Swing,With A Song In My Heart,1305
100,Jazz-Medium Swing,Edwards Clare,F,Medium Swing,With The Wind And The Rain In Hair,1306
240,Jazz-Up Tempo Swing,Youmans Vincent,Eb,Up Tempo Swing,Without A Song,1307
100,Jazz-Medium Swing,Bacharach Burt,Eb,Waltz,Wives And Lovers,1308
240,Jazz-Up Tempo Swing,Gillespie Dizzy,Db,Up Tempo Swing,Woody'n You,1309
160,Jazz-Medium Up Swing,Adderley Nat,F-,Medium Up Swing,Work Song,1310
